CD_MUN,Pop 2018,GDP,GDP Tax,GDP Agro,GDP Indu,GDP Serv Pri,GDP Serv Publ
3515400,16001,370628,19897,57388,40466,189013,63864
3515509,68823,2006104,156173,86241,258578,1241637,263475
3515608,5771,191408,10133,72039,16029,67212,25995
3515657,1704,50029,1413,21685,2509,12436,11986
3515707,191993,3137940,308997,1756,804440,1407903,614844
3515806,1499,37968,702,13897,1781,9754,11835
3515905,2934,63979,2168,20077,4660,20144,16930
3516002,14486,206634,7934,35890,29375,79302,54131
3516101,2699,136091,14527,30131,4697,69294,17443
3516200,350400,9992981,1018406,83748,1747214,5930258,1213356
3516309,174008,1517245,74905,413,110724,773472,557731
3516408,152433,2995316,284715,2815,839826,1364521,503440
3516507,2776,74118,2911,15633,17022,23277,15276
3516606,6615,143175,7039,31855,10003,66311,27966
3516705,44370,1192416,102168,93152,178159,651272,167665
3516804,4754,76519,3272,19893,4972,27671,20710
3516853,4762,887102,99146,27099,585111,146554,29191
3516903,10876,248503,15136,35468,14236,132972,50691
3517000,11370,185155,6094,60755,7904,65988,44415
3517109,4801,101506,4617,20569,17529,34459,24331
3517208,12039,196222,14389,31597,29450,74539,46247
3517307,5743,75600,3031,17318,2557,29579,23116
3517406,40533,3249524,348619,205734,1483461,1019749,191960
3517505,21125,549431,49925,54244,150449,215175,79638
3517604,17293,326394,11548,118839,35328,92636,68042
3517703,21129,439581,23485,52250,72580,202516,88750
3517802,8357,273862,12548,112246,12389,97522,39158
3517901,11088,329127,28177,95617,54376,96881,54076
3518008,2002,35546,1283,6068,3061,12600,12534
3518107,6654,174176,8458,60981,20962,54670,29104
3518206,32774,909954,62832,163326,142848,413041,127907
3518305,29451,1413582,237071,27941,251839,769533,127198
3518404,121073,5672184,980796,26047,1762715,2447495,455132
3518503,18143,222782,11897,43940,40222,62502,64221
3518602,39714,899806,76486,46014,202515,420487,154305
3518701,318107,8599009,1105736,34610,1244106,4764871,1449686
3518800,1365899,61325724,10636984,32570,11438406,33772291,5445474
3518859,7602,212860,15568,78283,15255,64187,39568
3518909,5226,65821,2143,13653,3958,22575,23492
3519006,9462,313972,23235,60765,90153,102554,37265
3519055,14579,970053,88735,274252,153553,380410,73103
3519071,227353,13116393,2484815,1016,3905026,5805358,920178
3519105,11559,427955,48124,65385,40115,222632,51699
3519204,6348,191441,12414,70841,18115,64431,25641
3519253,8956,152536,9922,41496,8878,56490,35749
3519303,34726,849194,76708,36409,244374,361987,129715
3519402,12264,251106,13061,36952,42378,106928,51788
3519501,7663,183537,17788,33296,19852,83384,29218
3519600,59451,1523757,123366,87906,371003,729512,211971
3519709,78262,1701924,132819,265928,277808,728335,297035
3519808,8181,173791,5269,17924,36780,74382,39435
3519907,8124,247259,29933,39757,13404,125355,38810
3520004,24598,303425,16637,11945,18227,167551,89065
3520103,30246,1179673,147360,67045,166276,683520,115473
3520202,9483,180642,17888,1622,19240,97270,44624
3520301,30721,1169820,22461,77414,546011,396469,127465
3520400,34333,14401225,120095,2991,10150556,3877483,250099
3520426,10965,1339968,12316,3829,854690,381733,87401
3520442,26582,625343,31955,50864,33217,379023,130285
3520509,246908,15596305,3259114,28375,4701156,6577474,1030187
3520608,4892,64130,2539,10555,3142,26409,21485
3520707,3908,95550,4031,23697,5611,41995,20216
3520806,3963,138262,14381,7656,6889,89529,19806
3520905,14869,373011,31043,29674,87368,162672,62254
3521002,36280,648433,80046,12521,171281,251005,133581
3521101,7401,696293,73550,16879,389941,183691,32233
3521150,5306,107466,9392,23791,18340,32461,23482
3521200,4238,51274,1652,5452,2395,18546,23230
3521309,16209,358853,22201,68181,38204,157790,72477
3521408,23846,1990597,638575,16934,675747,560729,98611
3521507,7937,156746,4272,61502,9411,50185,31375
3521606,8261,88061,3407,13930,2503,38238,29982
3521705,17635,521462,36792,143399,26423,244861,69986
3521804,26861,601068,42477,145027,52488,246691,114384
3521903,15226,1599309,151769,211969,709159,457537,68874
3522000,3782,87324,5300,24964,10584,26908,19568
3522109,100496,1885631,101152,38645,138403,1148190,459241
3522158,3326,41299,1739,3678,6961,12530,16391
3522208,173672,3660938,410095,15473,697123,1924630,613617
3522307,162231,4754148,499566,245550,1046455,2374990,587588
3522406,93892,2521974,172900,538045,258046,1176436,376547
3522505,234352,12172061,2139814,251,2576307,6592388,863301
3522604,74299,3905552,470400,53932,1517715,1557095,306411
3522653,4213,42108,1541,2584,1893,15323,20767
3522703,42903,1308752,111339,172832,233955,628005,162622
